CompetitorNumber,CompetitorName,DogName,CountryCode,IntermediateTime1,IntermediateTime2,IntermediateTime3,FinishTime,FaultCount,RefusalCount,IsEliminated,Placement
202,Name0202,Dog0202,NL,3.714,6.933,10.163,14.359,5,5,False,1
801,Name0801,Dog0801,NL,4.363,8.657,12.301,18.955,5,5,False,2
59,Name0059,Dog0059,NL,3.415,9.752,14.231,19.604,5,5,False,3
832,Name0832,Dog0832,NL,6.194,9.933,14.830,19.938,5,5,False,4
36,Name0036,Dog0036,NL,5.567,13.950,17.561,20.775,5,5,False,5
334,Name0334,Dog0334,NL,10.229,15.021,18.258,21.618,5,5,False,6
492,Name0492,Dog0492,NL,6.241,12.763,16.600,22.986,5,5,False,7
916,Name0916,Dog0916,NL,8.119,11.692,20.340,23.563,5,5,False,8
873,Name0873,Dog0873,NL,7.081,12.921,16.620,23.661,5,5,False,9
196,Name0196,Dog0196,NL,3.578,6.957,19.767,23.914,5,5,False,10
30,Name0030,Dog0030,NL,5.720,11.194,14.263,24.089,5,5,False,11
276,Name0276,Dog0276,NL,3.599,10.437,17.571,24.486,5,5,False,12
774,Name0774,Dog0774,NL,10.264,13.310,19.500,24.572,5,5,False,13
201,Name0201,Dog0201,NL,3.195,11.850,14.896,24.655,5,5,False,14
736,Name0736,Dog0736,NL,5.382,11.178,17.141,24.669,5,5,False,15
146,Name0146,Dog0146,NL,3.000,6.534,13.067,24.791,5,5,False,16
123,Name0123,Dog0123,NL,4.872,13.736,19.933,25.270,5,5,False,17
865,Name0865,Dog0865,NL,4.554,10.651,21.062,25.745,5,5,False,18
754,Name0754,Dog0754,NL,9.645,12.674,18.777,25.747,5,5,False,19
251,Name0251,Dog0251,NL,5.889,17.539,22.005,25.915,5,5,False,20
140,Name0140,Dog0140,NL,11.092,16.263,22.887,26.329,5,5,False,21
763,Name0763,Dog0763,NL,3.277,8.330,16.810,26.774,5,5,False,22
697,Name0697,Dog0697,NL,12.820,18.603,21.811,27.024,5,5,False,23
749,Name0749,Dog0749,NL,6.355,11.443,16.469,27.119,5,5,False,24
329,Name0329,Dog0329,NL,10.516,18.534,23.451,27.305,5,5,False,25
576,Name0576,Dog0576,NL,3.074,18.973,24.468,27.592,5,5,False,26
572,Name0572,Dog0572,NL,4.376,14.104,17.814,27.605,5,5,False,27
352,Name0352,Dog0352,NL,4.628,14.235,23.255,27.698,5,5,False,28
21,Name0021,Dog0021,NL,3.264,10.969,20.067,27.834,5,5,False,29
268,Name0268,Dog0268,NL,13.427,19.874,23.992,28.053,5,5,False,30
295,Name0295,Dog0295,NL,5.927,14.157,22.043,28.114,5,5,False,31
686,Name0686,Dog0686,NL,8.270,15.633,24.285,28.431,5,5,False,32
872,Name0872,Dog0872,NL,5.918,13.267,23.210,29.002,5,5,False,33
40,Name0040,Dog0040,NL,10.227,19.808,25.225,29.007,5,5,False,34
980,Name0980,Dog0980,NL,4.390,16.736,24.177,29.071,5,5,False,35
371,Name0371,Dog0371,NL,10.042,13.521,23.185,29.520,5,5,False,36
870,Name0870,Dog0870,NL,6.832,12.287,22.115,29.647,5,5,False,37
378,Name0378,Dog0378,NL,6.062,11.979,23.222,29.677,5,5,False,38
152,Name0152,Dog0152,NL,3.035,6.218,12.436,29.795,5,5,False,39
724,Name0724,Dog0724,NL,10.260,14.566,19.052,30.034,5,5,False,40
270,Name0270,Dog0270,NL,8.695,20.361,24.584,30.258,5,5,False,41
203,Name0203,Dog0203,NL,5.966,18.303,23.239,30.392,5,5,False,42
464,Name0464,Dog0464,NL,6.958,19.374,23.416,30.408,5,5,False,43
48,Name0048,Dog0048,NL,6.675,20.769,26.875,30.516,5,5,False,44
225,Name0225,Dog0225,NL,6.042,22.961,26.168,30.557,5,5,False,45
226,Name0226,Dog0226,NL,6.042,22.961,26.168,30.557,5,5,False,45
773,Name0773,Dog0773,NL,7.634,14.105,25.747,30.560,5,5,False,46
