CompetitorNumber,CompetitorName,DogName,CountryCode,IntermediateTime1,IntermediateTime2,IntermediateTime3,FinishTime,FaultCount,RefusalCount,IsEliminated,Placement
1,Annelies,Seena,NL,,,,,,,,
2,Ben,Rain,NL,,,,,,,,
3,Feline,Cadie,NL,,,,,,,,
4,Marissa,Yentl,NL,,,,,,,,
5,Elly-may,Benthe,NL,,,,,,,,
6,Alwin,Mekx,NL,,,,,,,,
7,Wilbert,Bryce,NL,,,,,,,,
20,Marissa,Kida,NL,,,,,,,,
21,Margreet,Blizzard,NL,,,,,,,,
24,Carla,Jill,NL,,,,,,,,
25,Anouk,Ikey,NL,,,,,,,,
26,Johan,Djintie,NL,,,,,,,,
27,Marina,Jess,NL,,,,,,,,
